Code du département;Code de la commune;Code INSEE;Libellé de la commune;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Nom_candidat_RN;Prénom_candidat_RN;Voix_RN;Pct_RN_exp;Nom_candidat_2;Voix_candidat_2
09;507;09507;Commune_09507;53669;18009;35660;1352;0;34308;RASSEMBLEMENT NATIONAL;;10496;30.59;MACRON;23812
72;072;72072;Commune_72072;69617;27685;41932;1319;0;40613;RASSEMBLEMENT NATIONAL;;12682;31.23;MACRON;27931
61;471;61471;Commune_61471;30203;9442;20761;638;0;20123;RASSEMBLEMENT NATIONAL;;6269;31.15;MACRON;13854
41;071;41071;Commune_41071;78569;27633;50936;1657;0;49279;RASSEMBLEMENT NATIONAL;;17652;35.82;MACRON;31627
41;433;41433;Commune_41433;76897;21088;55809;2125;0;53684;RASSEMBLEMENT NATIONAL;;20982;39.09;MACRON;32702
81;053;81053;Commune_81053;74076;22433;51643;1410;0;50233;RASSEMBLEMENT NATIONAL;;17900;35.64;MACRON;32333
08;293;08293;Commune_08293;40656;11083;29573;1078;0;28495;RASSEMBLEMENT NATIONAL;;10557;37.05;MACRON;17938
65;395;65395;Commune_65395;34800;10038;24762;420;0;24342;RASSEMBLEMENT NATIONAL;;6884;28.28;MACRON;17458
19;437;19437;Commune_19437;27035;7057;19978;762;0;19216;RASSEMBLEMENT NATIONAL;;7204;37.49;MACRON;12012
09;251;09251;Commune_09251;50367;20694;29673;410;0;29263;RASSEMBLEMENT NATIONAL;;11968;40.9;MACRON;17295
49;553;49553;Commune_49553;43932;18390;25542;1006;0;24536;RASSEMBLEMENT NATIONAL;;8753;35.67;MACRON;15783
95;464;95464;Commune_95464;41841;14391;27450;713;0;26737;RASSEMBLEMENT NATIONAL;;10059;37.63;MACRON;16678
69;125;69125;Commune_69125;78287;26439;51848;2050;0;49798;RASSEMBLEMENT NATIONAL;;21173;42.52;MACRON;28625
71;403;71403;Commune_71403;29760;9757;20003;205;0;19798;RASSEMBLEMENT NATIONAL;;5929;29.95;MACRON;13869
67;438;67438;Commune_67438;67397;13843;53554;2124;0;51430;RASSEMBLEMENT NATIONAL;;14823;28.82;MACRON;36607
74;200;74200;Commune_74200;30764;12225;18539;527;0;18012;RASSEMBLEMENT NATIONAL;;7238;40.18;MACRON;10774
48;443;48443;Commune_48443;35196;10758;24438;336;0;24102;RASSEMBLEMENT NATIONAL;;8749;36.3;MACRON;15353
12;539;12539;Commune_12539;19999;4907;15092;576;0;14516;RASSEMBLEMENT NATIONAL;;5130;35.35;MACRON;9386
80;490;80490;Commune_80490;28777;9621;19156;250;0;18906;RASSEMBLEMENT NATIONAL;;7002;37.04;MACRON;11904
42;457;42457;Commune_42457;26244;9585;16659;199;0;16460;RASSEMBLEMENT NATIONAL;;4878;29.64;MACRON;11582
47;381;47381;Commune_47381;21837;4421;17416;197;0;17219;RASSEMBLEMENT NATIONAL;;7568;43.95;MACRON;9651
35;163;35163;Commune_35163;32195;7575;24620;303;0;24317;RASSEMBLEMENT NATIONAL;;9419;38.74;MACRON;14898
