Code du département;Code de la commune;Code INSEE;Libellé de la commune;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Nom_candidat_RN;Prénom_candidat_RN;Voix_RN;Pct_RN_exp;Nom_candidat_2;Voix_candidat_2
09;507;09507;Commune_09507;19445;8613;10832;368;0;10464;LE PEN;Marine;3924;37.51;MACRON;6540
72;072;72072;Commune_72072;41618;17421;24197;445;0;23752;LE PEN;Marine;9394;39.55;MACRON;14358
61;471;61471;Commune_61471;78659;29461;49198;868;0;48330;LE PEN;Marine;20496;42.41;MACRON;27834
41;071;41071;Commune_41071;76540;15818;60722;763;0;59959;LE PEN;Marine;27146;45.28;MACRON;32813
41;433;41433;Commune_41433;72626;24724;47902;1610;0;46292;LE PEN;Marine;22701;49.04;MACRON;23591
81;053;81053;Commune_81053;25444;5825;19619;640;0;18979;LE PEN;Marine;8218;43.3;MACRON;10761
08;293;08293;Commune_08293;73891;32940;40951;1170;0;39781;LE PEN;Marine;16719;42.03;MACRON;23062
65;395;65395;Commune_65395;78451;33022;45429;1694;0;43735;LE PEN;Marine;15328;35.05;MACRON;28407
19;437;19437;Commune_19437;35909;13439;22470;782;0;21688;LE PEN;Marine;9511;43.86;MACRON;12177
09;251;09251;Commune_09251;75794;22165;53629;697;0;52932;LE PEN;Marine;21075;39.82;MACRON;31857
49;553;49553;Commune_49553;40076;8256;31820;612;0;31208;LE PEN;Marine;15719;50.37;MACRON;15489
95;464;95464;Commune_95464;54179;24366;29813;1171;0;28642;LE PEN;Marine;14940;52.16;MACRON;13702
69;125;69125;Commune_69125;17354;5940;11414;358;0;11056;LE PEN;Marine;4659;42.15;MACRON;6397
71;403;71403;Commune_71403;41908;12527;29381;559;0;28822;LE PEN;Marine;10387;36.04;MACRON;18435
67;438;67438;Commune_67438;24804;6032;18772;459;0;18313;LE PEN;Marine;6570;35.88;MACRON;11743
74;200;74200;Commune_74200;21498;6060;15438;552;0;14886;LE PEN;Marine;6745;45.32;MACRON;8141
48;443;48443;Commune_48443;43426;10212;33214;1081;0;32133;LE PEN;Marine;14029;43.66;MACRON;18104
12;539;12539;Commune_12539;16151;3445;12706;216;0;12490;LE PEN;Marine;5559;44.51;MACRON;6931
80;490;80490;Commune_80490;64721;18422;46299;1748;0;44551;LE PEN;Marine;17755;39.85;MACRON;26796
42;457;42457;Commune_42457;35957;7258;28699;645;0;28054;LE PEN;Marine;10972;39.11;MACRON;17082
47;381;47381;Commune_47381;31463;12817;18646;574;0;18072;LE PEN;Marine;7861;43.5;MACRON;10211
35;163;35163;Commune_35163;50049;12045;38004;1290;0;36714;LE PEN;Marine;16157;44.01;MACRON;20557
17;477;17477;Commune_17477;65474;13697;51777;704;0;51073;LE PEN;Marine;22358;43.78;MACRON;28715
88;219;88219;Commune_88219;37479;12238;25241;672;0;24569;LE PEN;Marine;11814;48.09;MACRON;12755
73;319;73319;Commune_73319;73257;19086;54171;1532;0;52639;LE PEN;Marine;21666;41.16;MACRON;30973
60;189;60189;Commune_60189;49873;21482;28391;437;0;27954;LE PEN;Marine;12270;43.89;MACRON;15684
38;188;38188;Commune_38188;38968;10770;28198;716;0;27482;LE PEN;Marine;10315;37.53;MACRON;17167
78;095;78095;Commune_78095;49595;17910;31685;365;0;31320;LE PEN;Marine;12504;39.93;MACRON;18816
51;576;51576;Commune_51576;27699;9022;18677;488;0;18189;LE PEN;Marine;8192;45.04;MACRON;9997
42;089;42089;Commune_42089;66082;21990;44092;791;0;43301;LE PEN;Marine;19759;45.63;MACRON;23542
42;052;42052;Commune_42052;51263;22255;29008;905;0;28103;LE PEN;Marine;10709;38.11;MACRON;17394
