Code du département;Code de la commune;Code INSEE;Libellé de la commune;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Nom_candidat_RN;Prénom_candidat_RN;Voix_RN;Pct_RN_exp;Nom_candidat_2;Voix_candidat_2
09;507;09507;Commune_09507;23441;9735;13706;372;0;13334;LE PEN;Marine;4720;35.4;MACRON;8614
72;072;72072;Commune_72072;78183;33947;44236;1514;0;42722;LE PEN;Marine;15719;36.8;MACRON;27003
61;471;61471;Commune_61471;45394;15566;29828;1016;0;28812;LE PEN;Marine;10914;37.88;MACRON;17898
41;071;41071;Commune_41071;55060;18514;36546;615;0;35931;LE PEN;Marine;14424;40.14;MACRON;21507
41;433;41433;Commune_41433;34760;15027;19733;728;0;19005;LE PEN;Marine;8520;44.83;MACRON;10485
81;053;81053;Commune_81053;45712;12218;33494;1098;0;32396;LE PEN;Marine;9725;30.02;MACRON;22671
08;293;08293;Commune_08293;36462;9193;27269;625;0;26644;LE PEN;Marine;10974;41.19;MACRON;15670
65;395;65395;Commune_65395;71842;30199;41643;882;0;40761;LE PEN;Marine;14738;36.16;MACRON;26023
19;437;19437;Commune_19437;77036;16388;60648;2003;0;58645;LE PEN;Marine;27654;47.16;MACRON;30991
09;251;09251;Commune_09251;75715;30203;45512;720;0;44792;LE PEN;Marine;17276;38.57;MACRON;27516
49;553;49553;Commune_49553;27038;11208;15830;435;0;15395;LE PEN;Marine;7088;46.04;MACRON;8307
95;464;95464;Commune_95464;72185;25658;46527;886;0;45641;LE PEN;Marine;19537;42.81;MACRON;26104
69;125;69125;Commune_69125;26756;5622;21134;704;0;20430;LE PEN;Marine;7282;35.65;MACRON;13148
71;403;71403;Commune_71403;59029;19389;39640;920;0;38720;LE PEN;Marine;12883;33.27;MACRON;25837
67;438;67438;Commune_67438;53677;16397;37280;928;0;36352;LE PEN;Marine;13069;35.95;MACRON;23283
74;200;74200;Commune_74200;73998;20667;53331;912;0;52419;LE PEN;Marine;20081;38.31;MACRON;32338
48;443;48443;Commune_48443;62366;14733;47633;1344;0;46289;LE PEN;Marine;18740;40.49;MACRON;27549
12;539;12539;Commune_12539;19142;7825;11317;214;0;11103;LE PEN;Marine;3584;32.28;MACRON;7519
80;490;80490;Commune_80490;66118;19267;46851;1362;0;45489;LE PEN;Marine;19222;42.26;MACRON;26267
42;457;42457;Commune_42457;79345;34274;45071;1760;0;43311;LE PEN;Marine;14723;33.99;MACRON;28588
47;381;47381;Commune_47381;20400;6387;14013;270;0;13743;LE PEN;Marine;5640;41.04;MACRON;8103
35;163;35163;Commune_35163;73030;20119;52911;1851;0;51060;LE PEN;Marine;19575;38.34;MACRON;31485
17;477;17477;Commune_17477;71958;14805;57153;1663;0;55490;LE PEN;Marine;21804;39.29;MACRON;33686
88;219;88219;Commune_88219;66097;24436;41661;1038;0;40623;LE PEN;Marine;17614;43.36;MACRON;23009
