Code du département;Code de la commune;Code INSEE;Libellé de la commune;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Nom_candidat_RN;Prénom_candidat_RN;Voix_RN;Pct_RN_exp;Nom_candidat_2;Voix_candidat_2
09;507;09507;Commune_09507;23253;7473;15780;212;0;15568;RASSEMBLEMENT NATIONAL;;5427;34.86;MACRON;10141
72;072;72072;Commune_72072;37439;8137;29302;389;0;28913;RASSEMBLEMENT NATIONAL;;11072;38.3;MACRON;17841
61;471;61471;Commune_61471;39389;14786;24603;855;0;23748;RASSEMBLEMENT NATIONAL;;7814;32.91;MACRON;15934
41;071;41071;Commune_41071;28544;7845;20699;211;0;20488;RASSEMBLEMENT NATIONAL;;8290;40.47;MACRON;12198
41;433;41433;Commune_41433;70433;18487;51946;1148;0;50798;RASSEMBLEMENT NATIONAL;;23455;46.17;MACRON;27343
81;053;81053;Commune_81053;26931;11943;14988;583;0;14405;RASSEMBLEMENT NATIONAL;;6399;44.42;MACRON;8006
08;293;08293;Commune_08293;25304;8158;17146;299;0;16847;RASSEMBLEMENT NATIONAL;;7490;44.46;MACRON;9357
65;395;65395;Commune_65395;24830;6596;18234;607;0;17627;RASSEMBLEMENT NATIONAL;;5115;29.02;MACRON;12512
19;437;19437;Commune_19437;43817;12505;31312;1167;0;30145;RASSEMBLEMENT NATIONAL;;12931;42.9;MACRON;17214
09;251;09251;Commune_09251;40819;10054;30765;690;0;30075;RASSEMBLEMENT NATIONAL;;10503;34.93;MACRON;19572
49;553;49553;Commune_49553;44457;10149;34308;378;0;33930;RASSEMBLEMENT NATIONAL;;14195;41.84;MACRON;19735
95;464;95464;Commune_95464;43695;19414;24281;392;0;23889;RASSEMBLEMENT NATIONAL;;9551;39.98;MACRON;14338
69;125;69125;Commune_69125;40043;16486;23557;437;0;23120;RASSEMBLEMENT NATIONAL;;7050;30.5;MACRON;16070
71;403;71403;Commune_71403;68795;20139;48656;755;0;47901;RASSEMBLEMENT NATIONAL;;14682;30.65;MACRON;33219
67;438;67438;Commune_67438;49081;16358;32723;551;0;32172;RASSEMBLEMENT NATIONAL;;12267;38.13;MACRON;19905
74;200;74200;Commune_74200;34702;7007;27695;412;0;27283;RASSEMBLEMENT NATIONAL;;11328;41.52;MACRON;15955
48;443;48443;Commune_48443;33811;11242;22569;313;0;22256;RASSEMBLEMENT NATIONAL;;9623;43.24;MACRON;12633
12;539;12539;Commune_12539;70245;29530;40715;1018;0;39697;RASSEMBLEMENT NATIONAL;;14397;36.27;MACRON;25300
80;490;80490;Commune_80490;75877;29695;46182;1790;0;44392;RASSEMBLEMENT NATIONAL;;18593;41.89;MACRON;25799
42;457;42457;Commune_42457;37978;12691;25287;957;0;24330;RASSEMBLEMENT NATIONAL;;8648;35.55;MACRON;15682
47;381;47381;Commune_47381;15088;6098;8990;250;0;8740;RASSEMBLEMENT NATIONAL;;3609;41.3;MACRON;5131
35;163;35163;Commune_35163;25659;9816;15843;246;0;15597;RASSEMBLEMENT NATIONAL;;6283;40.29;MACRON;9314
17;477;17477;Commune_17477;64356;27734;36622;1193;0;35429;RASSEMBLEMENT NATIONAL;;15237;43.01;MACRON;20192
88;219;88219;Commune_88219;21154;8028;13126;516;0;12610;RASSEMBLEMENT NATIONAL;;5226;41.45;MACRON;7384
73;319;73319;Commune_73319;62416;22557;39859;846;0;39013;RASSEMBLEMENT NATIONAL;;14617;37.47;MACRON;24396
60;189;60189;Commune_60189;26902;8743;18159;655;0;17504;RASSEMBLEMENT NATIONAL;;6637;37.92;MACRON;10867
38;188;38188;Commune_38188;45630;20420;25210;561;0;24649;RASSEMBLEMENT NATIONAL;;8594;34.87;MACRON;16055
78;095;78095;Commune_78095;69260;16832;52428;524;0;51904;RASSEMBLEMENT NATIONAL;;17586;33.88;MACRON;34318
51;576;51576;Commune_51576;49371;19015;30356;679;0;29677;RASSEMBLEMENT NATIONAL;;11473;38.66;MACRON;18204
42;089;42089;Commune_42089;49686;17138;32548;708;0;31840;RASSEMBLEMENT NATIONAL;;12455;39.12;MACRON;19385
42;052;42052;Commune_42052;51437;16249;35188;1305;0;33883;RASSEMBLEMENT NATIONAL;;11947;35.26;MACRON;21936
22;561;22561;Commune_22561;72976;19581;53395;1096;0;52299;RASSEMBLEMENT NATIONAL;;16852;32.22;MACRON;35447
09;333;09333;Commune_09333;63497;22385;41112;1433;0;39679;RASSEMBLEMENT NATIONAL;;16796;42.33;MACRON;22883
52;263;52263;Commune_52263;47081;18979;28102;1070;0;27032;RASSEMBLEMENT NATIONAL;;12100;44.76;MACRON;14932
84;442;84442;Commune_84442;54605;16221;38384;978;0;37406;RASSEMBLEMENT NATIONAL;;14576;38.97;MACRON;22830
06;230;06230;Commune_06230;52727;16418;36309;1090;0;35219;RASSEMBLEMENT NATIONAL;;9465;26.88;MACRON;25754
81;077;81077;Commune_81077;40038;15874;24164;663;0;23501;RASSEMBLEMENT NATIONAL;;9075;38.62;MACRON;14426
78;438;78438;Commune_78438;57577;20806;36771;1070;0;35701;RASSEMBLEMENT NATIONAL;;14252;39.92;MACRON;21449
26;106;26106;Commune_26106;71458;28947;42511;1362;0;41149;RASSEMBLEMENT NATIONAL;;13045;31.7;MACRON;28104
59;332;59332;Commune_59332;50609;16992;33617;892;0;32725;RASSEMBLEMENT NATIONAL;;10840;33.13;MACRON;21885
